customer_id,plan,signup_date,region,tenure_months,monthly_revenue,status,churn
CUS-2802,Pro,2023-10-12,APAC,27,101.22,Active,No
CUS-2191,Basic,2023-04-24,EMEA,32,-28.56,Churned,Yes
CUS-2818,Basic,2024-08-31,APAC,16,43.59,Active,No
CUS-1252,Enterprise,2024-10-10,,14,1406.61,Active,No
CUS-3506,Basic,2024-03-27,,21,31.72,Active,No
CUS-2118,Pro,2025-08-28,EMEA,4,103.47,Active,No
CUS-2412,Enterprise,2023-02-14,EMEA,35,1263.65,Active,No
CUS-3114,Pro,2025-11-26,APAC,1,82.22,Active,No
CUS-1409,Basic,2024-09-09,EMEA,15,35.23,Active,No
CUS-3580,Enterprise,2025-04-06,EMEA,8,520.83,Active,No
CUS-3255,Enterprise,2025-04-25,EMEA,8,936.04,Active,No
CUS-1053,Pro,2025-01-25,APAC,11,124.57,Active,No
CUS-1645,Pro,2023-02-21,,34,136.17,Active,No
CUS-2764,Basic,2024-09-20,Americas,15,37.38,Active,No
CUS-3777,Pro,2025-03-15,EMEA,9,137.6,Active,No
CUS-1901,Basic,2023-06-04,EMEA,31,31.07,Active,No
CUS-2074,Enterprise,2023-08-04,EMEA,29,1042.55,Active,No
CUS-1473,Basic,2024-10-20,EMEA,14,25.51,Active,No
CUS-3739,Pro,2025-10-29,APAC,2,142.17,Active,No
CUS-3547,Enterprise,2025-12-28,EMEA,0,703.67,Active,No
CUS-1045,Pro,2025-04-22,,8,147.74,Active,No
CUS-1290,Basic,2024-06-19,APAC,18,46.7,Active,No
CUS-1913,Enterprise,2025-08-23,EMEA,4,591.03,Active,No
CUS-3084,Basic,2023-02-06,Americas,35,28.5,Active,No
CUS-2361,Pro,2023-11-18,APAC,25,119.52,Active,No
CUS-3896,Basic,2025-05-12,EMEA,7,28.49,Active,No
CUS-3604,Pro,2025-10-21,Americas,2,94.75,Active,No
CUS-2227,Basic,2024-12-06,Americas,13,28.04,Active,No
CUS-1297,Enterprise,2025-05-23,APAC,7,1080.98,Active,No
CUS-2242,Basic,2025-07-26,EMEA,5,50.0,Churned,Yes
CUS-2006,Basic,2023-08-18,APAC,28,37.28,Active,No
CUS-2666,Enterprise,2024-05-08,APAC,20,811.04,Active,No
CUS-1747,Basic,2023-11-10,APAC,26,42.24,Active,No
CUS-3852,Basic,2025-08-06,EMEA,4,21.04,Active,No
CUS-1292,Basic,2025-03-21,EMEA,9,26.15,Active,No
CUS-1782,Enterprise,2025-07-05,EMEA,5,655.3,Active,No
CUS-3145,Basic,2024-02-18,Americas,22,42.3,Active,No
CUS-1323,Basic,2025-03-01,APAC,10,36.13,Active,No
CUS-1299,Pro,2024-07-26,APAC,17,91.38,Active,No
CUS-2299,Pro,2024-10-06,APAC,15,83.83,Active,No
CUS-1195,Basic,2025-01-02,APAC,12,27.85,Active,No
CUS-1064,Pro,2025-09-14,EMEA,3,111.13,Active,No
CUS-1394,Pro,2023-02-23,,34,80.0,Active,No
CUS-1728,Basic,2023-11-04,APAC,26,26.44,Churned,Yes
CUS-2584,Basic,2025-12-11,APAC,0,36.57,Active,No
CUS-2548,Pro,2023-11-30,EMEA,25,118.29,Active,No
CUS-3426,Pro,2025-01-21,,11,122.74,Active,No
CUS-1015,Basic,2023-12-31,EMEA,24,31.0,Active,No
CUS-3568,Basic,2023-07-05,Americas,30,37.78,Active,No
CUS-2601,Enterprise,2025-01-16,APAC,11,746.62,Active,No
CUS-2091,Basic,2023-04-03,EMEA,33,31.8,Active,No
CUS-3112,Basic,2024-12-12,EMEA,12,25.78,Active,No
CUS-1204,Basic,2025-01-07,EMEA,11,39.8,Active,No
CUS-3419,Basic,2023-07-11,,30,29.77,Active,No
